MaSP,TenSP,MoTaSP,SoLuongTonKho,LoaiSP,GiaSP
S1,Hoa Mai 712,San Pham Tot,622,Hoa Sinh Nhat,870009
S2,Mascara 909,San Pham Tot,297,Quan Tang,833703
S3,Hoa Mai 757,San Pham Tot,733,Quan Tang,693275
S4,Mascara 637,San Pham Tot,884,Hoa Sinh Nhat,636735
S5,Hoa Huong Duong 893,San Pham Tot,830,Quan Tang,852732
S6,Son Moi 835,San Pham Tot,544,Quan Tang,624479
S7,Hoa Mai 670,San Pham Tot,324,Hoa Sinh Nhat,372777
S8,Gau Bong 922,San Pham Tot,417,Quan Tang,553747
S9,Hoa Anh Dao 507,San Pham Tot,205,Quan Tang,436049
S10,Mascara 564,San Pham Tot,411,Hoa Sinh Nhat,309511
S11,Hoa Anh Dao 815,San Pham Tot,185,Quan Tang,452204
S12,Ao Khoac 596,San Pham Tot,814,Quan Tang,656880
S13,Hoa Dam But 918,San Pham Tot,132,Hoa Sinh Nhat,701734
S14,Mascara 801,San Pham Tot,730,Quan Tang,496657
S15,Hoa Hong 546,San Pham Tot,579,Quan Tang,564034
S16,Son Moi 982,San Pham Tot,639,Hoa Sinh Nhat,502475
S17,Hoa Tulip 895,San Pham Tot,332,Quan Tang,446752
S18,Nuoc Hoa 684,San Pham Tot,498,Quan Tang,330821
S19,Hoa Huong Duong 821,San Pham Tot,171,Hoa Sinh Nhat,603823
S20,Gau Bong 933,San Pham Tot,256,Quan Tang,691951
S21,Hoa Lan 877,San Pham Tot,609,Quan Tang,834793
S22,Nuoc Hoa 601,San Pham Tot,880,Hoa Sinh Nhat,793619
S23,Hoa Hue 755,San Pham Tot,172,Quan Tang,520685
S24,Nuoc Hoa 596,San Pham Tot,105,Quan Tang,380982
S25,Hoa Cuc 727,San Pham Tot,740,Hoa Sinh Nhat,999673
S26,Kep Toc 563,San Pham Tot,715,Quan Tang,535209
S27,Hoa Dam But 667,San Pham Tot,441,Quan Tang,476829
S28,Kep Toc 915,San Pham Tot,965,Hoa Sinh Nhat,254792
S29,Hoa Lan 718,San Pham Tot,154,Quan Tang,889006
S30,Mascara 777,San Pham Tot,105,Quan Tang,311451
S31,Hoa Hong 775,San Pham Tot,220,Hoa Sinh Nhat,571549
S32,Ao Khoac 859,San Pham Tot,275,Quan Tang,825192
S33,Hoa Mai 906,San Pham Tot,826,Quan Tang,635709
S34,Kep Toc 918,San Pham Tot,664,Hoa Sinh Nhat,244381
S35,Hoa Huong Duong 817,San Pham Tot,894,Quan Tang,809139
S36,Gau Bong 526,San Pham Tot,818,Quan Tang,911861
S37,Hoa Tigon 570,San Pham Tot,238,Hoa Sinh Nhat,410888
S38,Ao Khoac 530,San Pham Tot,587,Quan Tang,295271
S39,Hoa Mai 902,San Pham Tot,661,Quan Tang,785785
S40,Gau Bong 831,San Pham Tot,633,Hoa Sinh Nhat,215489
S41,Hoa Dam But 890,San Pham Tot,630,Quan Tang,943049
S42,Son Moi 931,San Pham Tot,368,Quan Tang,889887
S43,Hoa Hong 610,San Pham Tot,951,Hoa Sinh Nhat,946166
S44,Mascara 931,San Pham Tot,203,Quan Tang,806461
S45,Hoa Hue 678,San Pham Tot,610,Quan Tang,377654
S46,Mascara 650,San Pham Tot,591,Hoa Sinh Nhat,506972
S47,Hoa Tulip 639,San Pham Tot,876,Quan Tang,392680
S48,Kep Toc 867,San Pham Tot,740,Quan Tang,963516
S49,Hoa Tulip 509,San Pham Tot,848,Hoa Sinh Nhat,917745
S50,Son Moi 511,San Pham Tot,344,Quan Tang,943518
S51,Hoa Huong Duong 957,San Pham Tot,168,Quan Tang,972696
S52,Nuoc Hoa 951,San Pham Tot,470,Hoa Sinh Nhat,516367
S53,Hoa Lan 718,San Pham Tot,413,Quan Tang,200394
S54,Gau Bong 824,San Pham Tot,656,Quan Tang,727842
S55,Hoa Tigon 795,San Pham Tot,760,Hoa Sinh Nhat,865172
S56,Ao Khoac 833,San Pham Tot,615,Quan Tang,930107
S57,Hoa Anh Dao 750,San Pham Tot,365,Quan Tang,307787
S58,Son Moi 773,San Pham Tot,763,Hoa Sinh Nhat,830948
S59,Hoa Hue 936,San Pham Tot,832,Quan Tang,344323
S60,Son Moi 808,San Pham Tot,384,Quan Tang,616912
S61,Hoa Anh Dao 623,San Pham Tot,831,Hoa Sinh Nhat,781014
S62,Mascara 501,San Pham Tot,361,Quan Tang,382740
S63,Hoa Lan 808,San Pham Tot,120,Quan Tang,507332
S64,Nuoc Hoa 801,San Pham Tot,786,Hoa Sinh Nhat,639605
S65,Hoa Hong 602,San Pham Tot,953,Quan Tang,313864
S66,Ao Khoac 878,San Pham Tot,696,Quan Tang,895685
S67,Hoa Huong Duong 810,San Pham Tot,393,Hoa Sinh Nhat,407846
S68,Gau Bong 943,San Pham Tot,683,Quan Tang,543020
S69,Hoa Hong 526,San Pham Tot,724,Quan Tang,555136
S70,Son Moi 722,San Pham Tot,412,Hoa Sinh Nhat,266741
S71,Hoa Mai 509,San Pham Tot,878,Quan Tang,784297
S72,Nuoc Hoa 669,San Pham Tot,757,Quan Tang,837200
S73,Hoa Tigon 906,San Pham Tot,204,Hoa Sinh Nhat,468989
S74,Son Moi 667,San Pham Tot,831,Quan Tang,614664
S75,Hoa Huong Duong 795,San Pham Tot,888,Quan Tang,339027
S76,Gau Bong 757,San Pham Tot,137,Hoa Sinh Nhat,824522
S77,Hoa Huong Duong 547,San Pham Tot,447,Quan Tang,311567
S78,Ao Khoac 873,San Pham Tot,772,Quan Tang,527616
S79,Hoa Huong Duong 669,San Pham Tot,412,Hoa Sinh Nhat,561990
S80,Kep Toc 772,San Pham Tot,487,Quan Tang,642754
S81,Hoa Tigon 820,San Pham Tot,536,Quan Tang,371223
S82,Gau Bong 789,San Pham Tot,875,Hoa Sinh Nhat,243627
S83,Hoa Anh Dao 782,San Pham Tot,397,Quan Tang,659697
S84,Kep Toc 733,San Pham Tot,182,Quan Tang,608759
S85,Hoa Tulip 540,San Pham Tot,389,Hoa Sinh Nhat,795563
S86,Nuoc Hoa 881,San Pham Tot,185,Quan Tang,642596
S87,Hoa Anh Dao 885,San Pham Tot,685,Quan Tang,321379
S88,Nuoc Hoa 885,San Pham Tot,282,Hoa Sinh Nhat,978353
S89,Hoa Tigon 907,San Pham Tot,151,Quan Tang,644074
S90,Son Moi 695,San Pham Tot,778,Quan Tang,438876
S91,Hoa Mai 713,San Pham Tot,107,Hoa Sinh Nhat,599713
S92,Mascara 873,San Pham Tot,780,Quan Tang,712879
S93,Hoa Mai 625,San Pham Tot,853,Quan Tang,299568
S94,Gau Bong 608,San Pham Tot,642,Hoa Sinh Nhat,338074
S95,Hoa Mai 943,San Pham Tot,844,Quan Tang,856222
S96,Kep Toc 789,San Pham Tot,955,Quan Tang,376104
S97,Hoa Tulip 780,San Pham Tot,909,Hoa Sinh Nhat,756459
S98,Kep Toc 958,San Pham Tot,928,Quan Tang,861886
S99,Hoa Cuc 563,San Pham Tot,451,Quan Tang,923419
S100,Nuoc Hoa 544,San Pham Tot,406,Hoa Sinh Nhat,675505
S101,Hoa Tigon 527,San Pham Tot,744,Quan Tang,550716
S102,Kep Toc 667,San Pham Tot,474,Quan Tang,694382
S103,Hoa Hue 876,San Pham Tot,585,Hoa Sinh Nhat,763759
